img,name,processor,cores,ram,storage,graphics_card,screen_size,os,warranty,rating,score,price,threads,disk_type,screen_size,screen_pixels,has_touchScreen
https://cdn1.smartprix.com/rx-iaV4lfq2D-w280-h280/msi-titan-18-hx-ai-a.webp,MSI Titan 18 HX AI A2XWJG-486IN Gaming Laptop,Intel Core Ultra 9 285HX,24 Cores (8P + 16E),64 GB DDR5 RAM,6 TB  ,24 GB NVIDIA GeForce RTX 5090,"18 inches, 3840 x 2400 pixels",Windows 11 OS,1 Year Warranty,4.2,98,620990, 24 Threads,SSD,18 inches, 3840 x 2400 pixels,0
https://cdn1.smartprix.com/rx-ifGFTcCNM-w280-h280/lenovo-ideapad-slim.webp,Lenovo IdeaPad Slim 3 82XM00QDIN Laptop,5th Gen AMD Ryzen 5 5625U,Hexa Core,16 GB DDR4 RAM,512 GB  ,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.35,63,39990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-isv8oAMT6-w280-h280/lenovo-loq-15irx9-83.webp,Lenovo LOQ 15IRX9 83DV018QIN Gaming Laptop,13th Gen Intel Core i5 13450HX,10 Cores (6P + 4E),24 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.4,69,91290, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iDIxx1KCW-w280-h280/acer-aspire-lite-al1.webp,Acer Aspire Lite AL15-52H Laptop,12th Gen Intel Core i5 12450H,Octa Core (4P + 4E),16 GB DDR4 RAM,512 GB  ,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.75,56,41391, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iizh9GqQ2-w280-h280/asus-tuf-gaming-a15.webp,Asus TUF Gaming A15 FA566NFR-HN259W Laptop,7th Gen AMD Ryzen 7 7435HS,Octa Core,16 GB DDR5 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.15,69,56700, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iEnHgpqjx-w280-h280/asus-tuf-gaming-a15.webp,Asus TUF Gaming A15 FA506NCG-HN199W Laptop,7th Gen AMD Ryzen 7 7445HS,Octa Core,16 GB DDR5 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.0,69,70990, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iiYh36MgZ-w280-h280/hp-victus-16-r1705tx.webp,HP Victus 16-r1705TX Gaming Laptop,14th Gen Intel Core i5 14450HX,10 Cores (6P + 4E),16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.65,72,79990, 16 Threads,SSD,16.1 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iW4ZTUSxJ-w280-h280/lenovo-thinkbook-16.webp,Lenovo ThinkBook 16 21KKA0HGIN Laptop,7th Gen AMD Ryzen 5 7430U,Hexa Core,8 GB RAM,512 GB  ,AMD Radeon Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty,4.35,53,40304, 12 Threads,SSD,16 inches, 1920 x 1200 pixels,0
https://cdn1.smartprix.com/rx-iz7q0ZTqc-w280-h280/hp-15-fc0154au-lapto.webp,HP 15-fc0154AU Laptop,7th Gen AMD Ryzen 3 7320U,Quad Core,8 GB DDR5 RAM,512 GB  ,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.7,55,29890, 8 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iXMsgRkkm-w280-h280/apple-macbook-air-20.webp,Apple MacBook Air 2020 MGND3HN Laptop,Apple M1,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB  ,Apple M1 Integrated Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,1 Year Warranty,4.6,43,54490,,SSD,13.3 inches, 2560 x 1600 pixels,0
https://cdn1.smartprix.com/rx-iBtwopf5U-w280-h280/infinix-xbook-b15-se.webp,Infinix XBOOK B15 Series BL51A5 Laptop,5th Gen AMD Ryzen 7 5825U,Octa Core,16 GB DDR4 RAM,512 GB  ,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.4,64,44990, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iBtwopf5U-w280-h280/infinix-xbook-b15-se.webp,Infinix XBOOK B15 Series BL51A5 Laptop,5th Gen AMD Ryzen 5 5500U,Hexa Core,16 GB DDR4 RAM,512 GB  ,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.7,62,32990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iBtwopf5U-w280-h280/infinix-xbook-b15-bl.webp,Infinix XBOOK B15 BL51A5 Laptop,5th Gen AMD Ryzen 5 5500U,Hexa Core,8 GB DDR4 RAM,512 GB  ,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.6,61,30990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iaCzkgoz8-w280-h280/asus-expertbook-p1-p.webp,Asus Expertbook P1 P1503CVA-S70611WS Laptop,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),16 GB DDR5 RAM,512 GB  ,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.7,56,48990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iZHBMrOJe-w280-h280/hp-15-fd0467tu-lapto.webp,HP ‎15-fd0467TU Laptop,13th Gen Intel Core i5 1334U,10 Cores (2P + 8E),16 GB DDR4 RAM,512 GB  ,‎Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.2,57,51000, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-isGZQwKCN-w280-h280/hp-victus-15-fb3025a.webp,HP Victus 15-fb3025AX Gaming Laptop,8th Gen AMD Ryzen 9 8945HS,Octa Core,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.05,77,100990, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iDIxx1KCW-w280-h280/acer-aspire-lite-15.webp,Acer Aspire Lite 15 AL15-52H Laptop,12th Gen Intel Core i5 12450H,Octa Core (4P + 4E),12 GB DDR4 RAM,512 GB  ,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.4,55,47990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iuprVsTCG-w280-h280/lenovo-loq-2024-83gs.webp,Lenovo LOQ 2024 83GS003VIN Gaming Laptop,12th Gen Intel Core i5 12450HX,Octa Core (4P + 4E),16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.15,66,73990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iPMkkmEro-w280-h280/hp-omen-16-wf1096tx.webp,HP Omen 16-wf1096TX Gaming Laptop,14th Gen Intel Core i7 14650HX,16 Cores (8P + 8E),16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.4,79,119990, 24 Threads,SSD,16.1 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iYSzjXnIo-w280-h280/dell-inspiron-3530-o.webp,Dell Inspiron 3530 OIN353034071RINS1M Laptop,13th Gen Intel Core i5 1334U,10 Cores (2P + 8E),16 GB DDR4 RAM,512 GB  ,Intel Integrated Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.05,54,48866, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iHYJzC0np-w280-h280/zebronics-zeb-nbc-5s.webp,Zebronics ZEB-NBC 5S Laptop,12th Gen Intel Core i7 1255U,10 Cores (2P + 8E),16 GB DDR4 RAM,512 GB  ,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.05,66,36990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
